target,feature,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,abs_spearman
IDM-Imbalance,prev_load_forecast_mean,0.1639328578543948,0.0017002469417566092,0.26005932425587014,4.869594481436951e-07,364,0.26005932425587014
IDM-Imbalance,prev_nuclear_mean,0.1683844503710334,0.0012615980008171448,0.2585171226999302,5.718653582278962e-07,364,0.2585171226999302
IDM-Imbalance,day_of_week,-0.2286524237284168,1.0534064161341636e-05,-0.2426078947956572,2.8286077388142107e-06,364,0.2426078947956572
IDM-Imbalance,prev_load_actual_mean,0.15278283360544334,0.0034772626378334515,0.24226004189087927,2.925724389158991e-06,364,0.24226004189087927
IDM-Imbalance,prev_da_price_mean,0.16424863631629935,0.0016650376383515002,0.23912227249711682,3.9580839224798875e-06,364,0.23912227249711682
IDM-Imbalance,prev2_nuclear_mean,0.16441671908996577,0.001646570038448001,0.2368875651535738,4.896376959976568e-06,364,0.2368875651535738
IDM-Imbalance,prev_da_supply_mean,0.17888124843915532,0.000606269165711583,0.23051021207932787,8.883734742799703e-06,364,0.23051021207932787
IDM-Imbalance,prev2_da_supply_mean,0.18370218845686162,0.0004270379416810543,0.2293171336757887,9.91264332187972e-06,364,0.2293171336757887
IDM-Imbalance,prev2_hydro_mean,-0.11874917372915028,0.023462402031870066,-0.22664439586426627,1.2644185689829994e-05,364,0.22664439586426627
IDM-Imbalance,is_weekend,-0.17435091572069575,0.0008360239425264652,-0.2238008371486264,1.6328962069598443e-05,364,0.2238008371486264
IDM-Imbalance,da_price_change,0.19531396081771124,0.00017703835441979293,0.22377995603400333,1.6359457698447563e-05,364,0.22377995603400333
IDM-Imbalance,prev2_flow_hu_mean,-0.18356387692869872,0.00043140616022001055,-0.2232726177931657,1.7117222881783595e-05,364,0.2232726177931657
IDM-Imbalance,prev_hydro_mean,-0.1270176296488868,0.015315313267208806,-0.22096526660519908,2.100364587770862e-05,364,0.22096526660519908
IDM-Imbalance,prev_da_demand_mean,0.15443371725360913,0.003136690724352141,0.2172271201542621,2.9125818818727536e-05,364,0.2172271201542621
IDM-Imbalance,prev2_flow_pl_mean,0.17861247538880384,0.0006180710645531752,0.21054263295857317,5.153542631785565e-05,364,0.21054263295857317
IDM-Imbalance,prev_solar_actual_mean,-0.16070821906515317,0.00210089211325823,-0.2043758488554859,8.588235674468512e-05,364,0.2043758488554859
