datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-03-07 10:00:00,83.72,False,-7.0,83.72,90.72,52,51.18,-4.278,6.095104995438832,surplus,5.0,95.601,-14.85125,-55.52625
2026-03-07 10:15:00,45.77,True,,45.77,,46,35.25,-11.69,4.292101552082209,surplus,4.292101552082209,95.601,-53.46992811045214,-64.75815519242835
2026-03-07 10:30:00,46.08,False,,46.08,,55,,-10.862,4.960566487828653,surplus,4.960566487828653,95.601,-61.413053260940686,
2026-03-07 10:45:00,84.9,False,27.8,84.9,57.10000000000001,43,30.0,-8.336,6.988665345043107,surplus,5.0,95.601,-13.376249999999992,-82.00125
2026-03-07 11:00:00,2.3899999999999997,True,1.39,,,53,6.28,24.413,6.552355531341912,surplus,5.0,-4.684875,8.84359375,13.706093749999999
2026-03-07 11:15:00,1.5,True,,1.5,,52,-1.5,21.832,6.159372264287589,surplus,5.0,-4.684875,7.731093749999999,3.98109375
2026-03-07 11:30:00,-0.23,True,,-0.23,,50,5.09,22.44,7.002743201280716,surplus,5.0,-4.684875,5.56859375,12.21859375
2026-03-07 11:45:00,15.98,False,,15.98,,52,0.1,26.67,7.548216290020266,surplus,5.0,-4.684875,25.83109375,5.981093749999999
2026-03-07 12:30:00,-1.34,True,-7.03,-1.34,5.69,55,-6.07,7.672,11.290724986153746,surplus,5.0,-10.505925,11.45740625,5.544906249999999
2026-03-07 12:45:00,0.31999999999999995,False,-0.68,,,54,-20.99,11.045,11.618268967461807,surplus,5.0,-10.505925,13.53240625,-13.105093749999998
2026-03-07 13:00:00,4.29,False,,4.29,,48,-7.04,-4.488,7.968083890546772,surplus,5.0,20.7495,-20.574375000000003,-34.736875
2026-03-07 13:15:00,4.67,False,,4.67,,54,0.12,-3.426,11.647600876463825,surplus,5.0,20.7495,-20.099375000000002,-25.786875000000002
2026-03-07 13:30:00,5.31,False,,5.31,,50,3.44,3.58,14.72363991063654,surplus,5.0,20.7495,-19.299375000000005,-21.636875
2026-03-07 13:45:00,3.89,True,0.24,3.89,3.6500000000000004,55,,5.108,12.954637703599948,surplus,5.0,20.7495,-21.074375,
2026-03-07 14:00:00,-3.2,True,-8.42,-3.2,5.22,52,0.28,-11.594,13.987556396623203,surplus,5.0,82.41575,-107.0196875,-102.66968750000001
2026-03-07 14:15:00,9.09,True,5.06,9.09,4.03,53,26.0,-14.631,8.61143056207758,surplus,5.0,82.41575,-91.65718749999999,-70.5196875
2026-03-07 14:30:00,17.67,True,16.81,17.67,0.860000000000003,55,32.9,-12.119,6.325746333676144,surplus,5.0,82.41575,-80.9321875,-61.8946875
2026-03-07 14:45:00,68.33,True,66.52,68.33,1.8100000000000023,55,67.52,-20.016,5.59628752251991,surplus,5.0,82.41575,-17.607187500000006,-18.61968750000001
