X,A,Y,F,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
11,45.0,-10.0,,rule12,141126.67988984322,51.53618167172189,4634,46.358543417366946
11,45.0,-7.0,,rule12,144570.35599461797,52.79373210437409,4483,44.84793917567027
11,45.0,-4.0,,rule12,148695.0041274822,54.299957686051066,4286,42.87715086034414
11,45.0,-1.0,,rule12,150620.67455629006,55.00316774623506,4062,40.63625450180072
11,45.0,2.0,,rule12,152135.252751515,55.55625648244049,3822,38.23529411764706
11,45.0,5.0,,rule12,153758.73913743068,56.14911595728553,3563,35.64425770308123
11,45.0,8.0,,rule12,154362.29252139942,56.369519617805814,3315,33.16326530612245
11,50.0,-10.0,,rule12,139702.56578551666,51.016128317819415,4714,47.158863545418164
11,50.0,-7.0,,rule12,143520.5368233527,52.41036255600085,4552,45.53821528611445
11,50.0,-4.0,,rule12,147837.5228508159,53.986825464072425,4346,43.47739095638256
11,50.0,-1.0,,rule12,150038.456953904,54.790555416996796,4110,41.116446578631454
11,50.0,2.0,,rule12,151850.33324194545,55.45221050319364,3849,38.50540216086434
11,50.0,5.0,,rule12,153580.12306868477,56.08388952259889,3578,35.794317727090835
11,50.0,8.0,,rule12,154213.56964369921,56.31520948133919,3325,33.26330532212885
11,55.0,-10.0,,rule12,137739.1083245793,50.29911931221857,4780,47.81912765106042
11,55.0,-7.0,,rule12,141857.61375234593,51.80310172083916,4610,46.11844737895158
11,55.0,-4.0,,rule12,146541.14054655485,53.51341679322044,4392,43.937575030012006
11,55.0,-1.0,,rule12,149428.5037212486,54.567814680561135,4142,41.43657462985194
11,55.0,2.0,,rule12,151393.437974472,55.28536297636285,3874,38.75550220088036
11,55.0,5.0,,rule12,153317.83553338572,55.9881082140614,3593,35.94437775110044
11,55.0,8.0,,rule12,154137.1824510778,56.287314654936395,3329,33.30332132853141
11,60.0,-10.0,,rule12,136098.63912204196,49.700058107669435,4864,48.659463785514205
11,60.0,-7.0,,rule12,140522.1815852615,51.31543294816737,4682,46.83873549419768
11,60.0,-4.0,,rule12,145331.1513420068,53.0715568733592,4459,44.6078431372549
11,60.0,-1.0,,rule12,148639.46308059036,54.279675387302945,4196,41.976790716286516
11,60.0,2.0,,rule12,150946.7355975493,55.12223765613107,3913,39.14565826330532
11,60.0,5.0,,rule12,153083.4092202757,55.90250117596981,3620,36.214485794317724
