datetime,date,hour,year,month,day_of_week,is_weekend,quarter,price_eur_mwh,demand_mw,supply_mw,net_flow_cz,net_flow_pl,net_flow_hu,net_import,price_lag24,price_change_24h,price_change_24h_pct,price_lag168,price_change_7d,price_daily_mean,price_daily_std,price_daily_range,yesterday_mean_price,yesterday_std_price,yesterday_range_price,price_momentum_6h,net_import_lag24,net_import_change_24h
2024-06-14 19:00:00,2024-06-14,19,2024,6,4,0,2,132.93,1033.6,1026.4,456.3,-291.0,-158.1,7.200000000000017,152.75,-19.819999999999993,-12.975450081833056,156.11,-23.180000000000007,82.9025,36.71457976596371,153.79000000000002,98.85833333333333,30.264709347424294,102.06,83.55000000000001,-172.70000000000005,179.90000000000006
2024-06-14 20:00:00,2024-06-14,20,2024,6,4,0,2,137.45,1060.4,1027.5,569.8,-139.7,-397.2,32.89999999999998,196.18,-58.73000000000002,-29.936792741359987,171.94,-34.49000000000001,80.45541666666666,30.218774034806124,121.63000000000001,100.74333333333333,34.72916324517709,145.49,95.05999999999999,-159.10000000000002,192.0
2024-06-14 21:00:00,2024-06-14,21,2024,6,4,0,2,112.87,1031.9,1086.2,676.4,-135.7,-595.0,-54.299999999999955,164.02,-51.150000000000006,-31.18522131447385,153.67,-40.79999999999998,78.32416666666667,25.50503887413269,95.05999999999999,101.43208333333332,35.842615269872155,145.49,70.37,-266.29999999999995,212.0
2024-06-14 22:00:00,2024-06-14,22,2024,6,4,0,2,88.02,914.9,688.1,876.0,220.5,-869.7,226.79999999999995,106.38,-18.36,-17.258883248730964,128.07,-40.05,77.55916666666667,24.89499267212048,95.05999999999999,100.30458333333333,35.212032031946904,145.49,30.689999999999998,-188.2,414.99999999999994
2024-06-14 23:00:00,2024-06-14,23,2024,6,4,0,2,59.21,886.1,699.1,789.9,249.2,-852.1,186.9999999999999,85.67,-26.46,-30.88595774483483,108.27,-49.059999999999995,76.45666666666666,25.10519548977292,95.05999999999999,99.46125,35.31417184576453,145.49,-20.220000000000006,-289.6,476.5999999999999
2024-06-15 00:00:00,2024-06-15,0,2024,6,5,1,2,59.78,1056.5,897.8,799.8,455.1,-1096.2,158.70000000000005,78.86,-19.08,-24.194775551610448,106.21,-46.42999999999999,75.66166666666666,25.326902635368846,95.05999999999999,98.60458333333334,35.56371110619561,145.49,-29.709999999999994,51.100000000000136,107.59999999999991
2024-06-15 01:00:00,2024-06-15,1,2024,6,5,1,2,41.82,1031.1,992.4,720.0,600.3,-1281.6,38.700000000000045,67.24,-25.419999999999995,-37.80487804878048,97.39,-55.57,74.6025,26.21052381574347,95.63,97.58749999999999,36.11601321947895,145.49,-91.11000000000001,68.29999999999995,-29.59999999999991
2024-06-15 02:00:00,2024-06-15,2,2024,6,5,1,2,31.15,1034.8,1015.7,635.6,597.8,-1214.3,19.100000000000136,60.31,-29.160000000000004,-48.35019068147903,90.98,-59.830000000000005,73.3875,27.54381541092859,106.29999999999998,96.63749999999999,36.8066519566896,145.49,-106.29999999999998,63.5,-44.399999999999864
2024-06-15 03:00:00,2024-06-15,3,2024,6,5,1,2,31.79,1023.4,1042.2,611.5,655.8,-1286.1,-18.799999999999955,61.83,-30.04,-48.58482937085557,87.33,-55.54,72.13583333333334,28.748078788989947,106.29999999999998,95.79624999999999,37.38151563825437,145.49,-81.08000000000001,66.30000000000007,-85.10000000000002
2024-06-15 04:00:00,2024-06-15,4,2024,6,5,1,2,21.52,987.8,1039.6,618.5,657.1,-1327.4,-51.80000000000018,57.5,-35.980000000000004,-62.57391304347827,89.07,-67.55,70.63666666666667,30.43325678990965,115.92999999999999,94.78708333333334,38.09810408145609,145.49,-66.5,86.09999999999991,-137.9000000000001
2024-06-15 05:00:00,2024-06-15,5,2024,6,5,1,2,9.33,951.3,996.0,680.0,480.5,-1205.2,-44.700000000000045,67.64,-58.31,-86.20638675340035,86.01,-76.68,68.20708333333333,32.90967222422305,128.11999999999998,93.55250000000001,38.492193364369506,145.49,-49.88,156.0,-200.70000000000005
2024-06-15 06:00:00,2024-06-15,6,2024,6,5,1,2,1.54,987.9,966.2,729.3,388.3,-1095.9,21.699999999999818,85.25,-83.71,-98.19354838709677,83.59,-82.05,64.71916666666667,35.36894706754311,135.91,92.15125,38.14061572569055,145.49,-58.24,331.29999999999995,-309.60000000000014
2024-06-15 07:00:00,2024-06-15,7,2024,6,5,1,2,0.09,1027.9,853.8,583.8,296.0,-705.7,174.0999999999999,98.05,-97.96,-99.90821009688933,64.4,-64.31,60.637499999999996,36.9713639185789,137.35999999999999,90.90416666666665,37.40031491574786,145.49,-41.73,354.50000000000006,-180.40000000000015
2024-06-15 08:00:00,2024-06-15,8,2024,6,5,1,2,0.0,1091.7,626.6,634.9,405.7,-575.5,465.0999999999999,93.22,-93.22,-100.0,44.07,-44.07,56.75333333333333,38.27332215010598,137.45,89.835,36.92960565607293,145.49,-31.15,401.5,63.59999999999991
2024-06-15 09:00:00,2024-06-15,9,2024,6,5,1,2,-0.06,1204.4,520.4,610.6,441.6,-368.2,684.0,78.66,-78.72,-100.07627765064836,13.08,-13.14,53.473333333333336,39.66223509528451,137.51,89.52166666666666,36.99381154671188,145.49,-31.849999999999998,531.1,152.89999999999998
2024-06-15 10:00:00,2024-06-15,10,2024,6,5,1,2,-10.08,1237.1,520.5,598.8,750.2,-632.4,716.6,68.94,-79.02,-114.62140992167103,0.38,-10.46,50.18083333333333,41.55707002232681,147.53,89.31583333333333,37.09822132343179,145.49,-31.6,504.20000000000005,212.39999999999998
2024-06-15 11:00:00,2024-06-15,11,2024,6,5,1,2,-28.74,1444.0,496.5,657.9,660.1,-370.5,947.5,63.48,-92.22,-145.27410207939508,-2.39,-26.349999999999998,46.33833333333333,44.43757044063794,166.19,89.19375000000001,37.18160482684966,145.49,-38.07,568.6999999999999,378.80000000000007
