Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
2025-12-13;77;19:00 - 19:15;414.0;632.4;74.7;61.7;13.0;122.23;136.4
2025-12-13;78;19:15 - 19:30;476.2;478.0;45.4;33.3;12.1;118.16;78.7
2025-12-13;79;19:30 - 19:45;331.5;480.4;64.5;32.0;32.5;106.96;96.5
2025-12-13;80;19:45 - 20:00;506.4;334.3;54.0;36.6;17.4;110.77;90.6
2025-12-13;81;20:00 - 20:15;748.2;343.7;61.4;10.9;50.5;102.65;72.3
2025-12-13;82;20:15 - 20:30;252.5;436.6;47.0;19.6;27.4;103.63;66.6
2025-12-13;83;20:30 - 20:45;277.5;213.0;56.8;17.0;39.8;97.79;73.8
2025-12-13;84;20:45 - 21:00;221.7;473.2;47.5;25.1;22.4;85.58;72.6
2025-12-13;85;21:00 - 21:15;391.4;827.6;44.3;14.3;30.0;109.37;58.6
2025-12-13;86;21:15 - 21:30;346.2;872.1;33.0;17.3;15.7;93.66;50.3
2025-12-13;87;21:30 - 21:45;220.4;375.5;32.1;22.3;9.8;86.73;54.4
2025-12-13;88;21:45 - 22:00;435.6;304.8;10.3;17.8;-7.5;83.1;28.1
2025-12-13;89;22:00 - 22:15;374.5;881.2;68.6;25.3;43.3;96.86;93.9
2025-12-13;90;22:15 - 22:30;375.7;901.5;53.3;19.0;34.3;93.05;72.3
2025-12-13;91;22:30 - 22:45;842.5;462.1;51.6;30.5;21.1;85.83;82.1
2025-12-13;92;22:45 - 23:00;609.1;346.3;32.0;15.0;17.0;80.73;47.0
2025-12-13;93;23:00 - 23:15;780.3;670.3;51.7;12.0;39.7;90.96;63.7
2025-12-13;94;23:15 - 23:30;1,077.0;325.9;40.8;4.5;36.3;85.86;45.3
2025-12-13;95;23:30 - 23:45;634.9;453.9;40.0;16.0;24.0;83.89;56.0
2025-12-13;96;23:45 - 00:00;516.9;362.0;26.6;14.5;12.1;79.03;41.1
2025-12-14;1;00:00 - 00:15;103.4;120.1;18.6;22.6;-4.0;108.98;41.2
2025-12-14;2;00:15 - 00:30;151.1;74.9;20.0;21.6;-1.6;97.73;41.6
2025-12-14;3;00:30 - 00:45;198.7;164.5;26.9;64.7;-37.8;87.66;91.6
2025-12-14;4;00:45 - 01:00;116.2;302.7;17.7;64.5;-46.8;85.71;82.2
2025-12-14;5;01:00 - 01:15;184.8;130.6;40.5;9.0;31.5;101.36;49.5
2025-12-14;6;01:15 - 01:30;118.7;25.5;43.3;20.3;23.0;78.4;63.6
2025-12-14;7;01:30 - 01:45;54.5;42.5;22.3;9.5;12.8;77.75;31.8
2025-12-14;8;01:45 - 02:00;90.4;114.3;32.6;14.2;18.4;77.55;46.8
2025-12-14;9;02:00 - 02:15;237.4;82.9;24.3;21.1;3.2;90.75;45.4
2025-12-14;10;02:15 - 02:30;827.4;71.7;34.3;24.1;10.2;90.19;58.4
2025-12-14;11;02:30 - 02:45;385.7;118.9;29.7;31.5;-1.8;91.31;61.2
2025-12-14;12;02:45 - 03:00;789.5;67.8;28.0;20.8;7.2;88.63;48.8
2025-12-14;13;03:00 - 03:15;127.6;95.5;21.8;7.6;14.2;95.53;29.4
2025-12-14;14;03:15 - 03:30;700.5;182.1;18.7;17.0;1.7;95.63;35.7
2025-12-14;15;03:30 - 03:45;241.5;110.7;11.4;9.2;2.2;89.0;20.6
2025-12-14;16;03:45 - 04:00;378.1;100.7;18.1;11.6;6.5;90.73;29.7
2025-12-14;17;04:00 - 04:15;1,061.1;91.1;33.0;14.5;18.5;98.53;47.5
2025-12-14;18;04:15 - 04:30;834.7;69.0;18.9;5.3;13.6;92.0;24.2
2025-12-14;19;04:30 - 04:45;1,812.7;2.1;18.0;0.0;18.0;91.89;18.0
2025-12-14;20;04:45 - 05:00;905.9;23.1;11.1;15.0;-3.9;94.01;26.1
2025-12-14;21;05:00 - 05:15;404.5;112.1;64.1;16.6;47.5;89.35;80.7
2025-12-14;22;05:15 - 05:30;136.1;43.6;62.2;15.0;47.2;72.39;77.2
2025-12-14;23;05:30 - 05:45;158.8;125.4;51.5;25.0;26.5;99.49;76.5
2025-12-14;24;05:45 - 06:00;180.7;136.1;58.0;18.8;39.2;97.62;76.8
2025-12-14;25;06:00 - 06:15;1,556.8;315.5;42.4;37.5;4.9;84.97;79.9
2025-12-14;26;06:15 - 06:30;2,180.9;88.8;9.7;0.3;9.4;86.59;10.0
2025-12-14;27;06:30 - 06:45;1,868.6;352.2;39.9;29.0;10.9;93.25;68.9
2025-12-14;28;06:45 - 07:00;1,775.4;429.7;35.3;14.6;20.7;93.74;49.9
2025-12-14;29;07:00 - 07:15;682.8;355.9;26.4;20.0;6.4;87.26;46.4
2025-12-14;30;07:15 - 07:30;279.9;388.2;72.9;32.2;40.7;98.8;105.1
2025-12-14;31;07:30 - 07:45;651.2;354.6;93.4;49.5;43.9;111.83;142.9
2025-12-14;32;07:45 - 08:00;1,351.9;433.6;125.4;34.4;91.0;112.76;159.8
2025-12-14;33;08:00 - 08:15;452.8;3,429.3;125.6;97.7;27.9;93.42;223.3
2025-12-14;34;08:15 - 08:30;1,391.3;3,023.9;154.6;86.6;68.0;100.24;241.2
2025-12-14;35;08:30 - 08:45;1,132.5;625.7;141.4;88.5;52.9;104.62;229.9
2025-12-14;36;08:45 - 09:00;1,750.3;815.4;115.5;109.9;5.6;105.6;225.4
2025-12-14;37;09:00 - 09:15;1,101.6;638.0;300.3;34.8;265.5;106.56;335.1
2025-12-14;38;09:15 - 09:30;11,244.0;632.9;328.5;42.9;285.6;107.78;371.4
2025-12-14;39;09:30 - 09:45;1,090.7;1,081.7;196.0;71.6;124.4;93.73;267.6
2025-12-14;40;09:45 - 10:00;15,842.7;2,207.8;104.1;118.1;-14.0;93.12;222.2
2025-12-14;41;10:00 - 10:15;714.6;932.3;41.3;57.6;-16.3;112.18;98.9
